|Text|Sentiment|POLARITY|PREV_SENTIMENT|ERRO
113|instinct i|negative|0.14077932098765428|positive|ERRADO
114|after endu|negative|-0.00890251723585056|negative|CERTO
115|part one o|positive|0.0219606512890095|negative|ERRADO
116|i saw simo|positive|0.2058179723502304|positive|CERTO
117|the thirte|positive|0.13343946651638955|positive|CERTO
118|mpaa : not|positive|0.11490073318983932|positive|CERTO
119|larry flyn|positive|0.20984920634920634|positive|CERTO
120|susan gran|negative|-0.06785714285714287|negative|CERTO
121|after havi|positive|0.2653693528693529|positive|CERTO
122|carry on m|positive|0.2144774531024531|positive|CERTO
123|close your|positive|0.13653017241379312|positive|CERTO
124|apparantly|negative|0.035793650793650794|negative|CERTO
125|the disney|positive|0.12008406432748538|positive|CERTO
126|lucas was |negative|-0.0029397827092001753|negative|CERTO
127|when it co|negative|-0.027861111111111104|negative|CERTO
128|by phil cu|positive|0.1466119528619529|positive|CERTO
129|my giant i|negative|0.1263180272108844|positive|ERRADO
130|as with hi|positive|0.19583333333333328|positive|CERTO
131|i have no |negative|-0.016529394126796694|negative|CERTO
132|when respe|negative|0.02765916288572538|negative|CERTO
133|" "" in drea"|negative|-0.04234449760765549|negative|CERTO
134|" "" somethi"|negative|0.05238870230646546|negative|CERTO
135|starship t|negative|0.048214285714285716|negative|CERTO
136|hilarious |positive|0.21057773109243694|positive|CERTO
137|with more |positive|0.24450603174603178|positive|CERTO
138|annie wils|negative|-0.02783521303258146|negative|CERTO
139|it was onc|negative|0.06616465863453815|negative|CERTO
140|there's so|positive|0.11251909854851032|positive|CERTO
141|warning : |positive|0.08815827546296295|positive|CERTO
142|disaster f|positive|0.13037698412698417|positive|CERTO
143|" "" virus """|negative|0.03626736111111111|negative|CERTO
144|will hunti|positive|0.20237932159165029|positive|CERTO
145|susan gran|positive|0.06609195402298851|negative|ERRADO
146|i think th|positive|0.22903635116598078|positive|CERTO
147|for those |positive|0.14750258799171842|positive|CERTO
148|there are |negative|-0.02938988095238095|negative|CERTO
149|young eins|negative|-0.009362139917695474|negative|CERTO
150|in intoler|positive|0.039926921263554925|negative|ERRADO
151|this indep|negative|0.005492424242424245|negative|CERTO
152|call it to|positive|0.05332357859531772|negative|ERRADO
153|synopsis :|positive|0.07114117364117363|negative|ERRADO
154|weir is we|positive|0.2180657305657306|positive|CERTO
155|in wonder |positive|0.14773401572466993|positive|CERTO
156|plot : a s|negative|0.07799107142857142|negative|CERTO
157|john carpe|negative|0.023181393769629067|negative|CERTO
158|on the bas|positive|0.058585244542691345|negative|ERRADO
159|starting w|negative|0.09250415056866669|positive|ERRADO
160|this is th|negative|0.11763199219081572|positive|ERRADO
161|ever watch|negative|0.04664300815463606|negative|CERTO
162|the truman|positive|0.09620018088327947|positive|CERTO
163|best remem|negative|0.08487458619811562|positive|ERRADO
164|" "" showgir"|negative|-0.013580246913580249|negative|CERTO
165|-- comedy |positive|0.26284599239144696|positive|CERTO
166|writers : |negative|0.03345101258894364|negative|CERTO
167|hello kids|negative|0.06863952020202019|negative|CERTO
168|the law of|negative|0.06901773950686993|negative|CERTO
169|call 911 f|positive|0.07031989919313864|negative|ERRADO
170|at first g|positive|0.11237922705314013|positive|CERTO
171|watching t|negative|0.05067166563595135|negative|CERTO
172|ingredient|negative|0.05714756258234519|negative|CERTO
173|my first p|negative|-0.027737629753758784|negative|CERTO
174|wild thing|positive|0.22158991228070168|positive|CERTO
175|talk about|negative|0.08588368153585545|positive|ERRADO
176|forget get|negative|0.07326784673659677|negative|CERTO
177|it has bee|positive|0.11226884226884226|positive|CERTO
178|" "" practic"|negative|0.07282196969696965|negative|CERTO
179|with his l|positive|0.03854829810712164|negative|ERRADO
180|54 is dull|negative|-0.004559237931879438|negative|CERTO
181|bob the ha|positive|0.16693693693693695|positive|CERTO
182|i know wha|positive|0.10615509082420849|positive|CERTO
183|corey yuen|positive|0.21642715419501135|positive|CERTO
184|blade is t|positive|0.1721850048100048|positive|CERTO
185|plot : der|positive|0.08973606660294972|positive|CERTO
186|i tried ha|positive|0.12445238095238094|positive|CERTO
187|so , it's |negative|0.10950502488964027|positive|ERRADO
188|of course |negative|0.2512268981018981|positive|ERRADO
189|when bulwo|positive|0.11705687830687832|positive|CERTO
190|with stars|positive|0.0833406432748538|positive|CERTO
191|logical ti|positive|0.18260254329004325|positive|CERTO
192|i know tha|positive|0.09777288188002475|positive|CERTO
193|play it to|negative|0.014193161119390627|negative|CERTO
194|synopsis :|negative|0.022924603174603177|negative|CERTO
195|ingredient|positive|0.18491108564637976|positive|CERTO
196|romeo is b|negative|0.14544252044252046|positive|ERRADO
197|one can no|positive|0.08307501441647784|positive|CERTO
198|why do so |positive|0.09832059938403219|positive|CERTO
199| ( dreamwo|negative|0.16353076216712578|positive|ERRADO
